source_group_id,split,relation,donor_group_id,r_o,r_s,answer_norm_equal
105f44ca9abffa848e2d1b431231675977aad109d624a6e2f00452fe45b2ef50,train,capital of,c5fbef9fa50ddee2b66d8367fcce7d0be033b7e3964f631e4749471ee278a0c0,Kingdom of Sardinia,Maurya Empire,False
108bc68efbeaef12a01fcf82565fa11dd24c62d00fbe2e401ad45b19c042e0b9,train,capital of,a4bf47e98f7cb127c92e7183b921c57b793486e3045d5c38ab03c4e921afb460,Multnomah County,Spain,False
11956ddf925ec3623690a07fdd6c46fb82d41ee76a21e422aa371de83c64a911,train,capital of,85ce598208547dcb75155c71c69b9e5c8f391b1e05259fec33ba3da3c45da9f6,Albacete Province,Muskogee County,False
1476d5ba35945fa2a095e2b52583d0448cdd0e22e05b5456bdf9714948b5dcb3,train,capital of,d54fb3c0d70f030e862f33e2ad4a65349920fee9ce793b95c65e71211b7360a9,United Kingdom of Great Britain and Ireland,Malawi,False
14c8a57b743c82fae3a51776bac8aef9beb8f94edb75a8f70478ea7de18e1a2d,train,capital of,91bb36ddc594a77e431f1b7ab4b39806aa1076a6fa9d8c0c7b0adc46f92e4678,Flanders,Ramsey County,False
15a79aa0ca40b0ac99c074d0060dbb27ca32f22140444203172d9f95ea8c5f64,train,capital of,d088118f4c1ab465a37fd16d6f3289da30de9d8ca92bbdacb5bdde5409d1e834,Belgium,Beaufort County,False
1738c27131f1ae6b5dfe3469e1bdcc712215fce1ad1348e3841a8a1b25986cee,train,capital of,f5116d9e45384bddd4afc1325c3234a5a081b582fc1d1083fc2eb337ee4eef8a,Yokohama,Redland City,False
1a07797fc8875fe4becf50b31b803f138a4410d7f33a728411cd5867ecd2d192,train,capital of,9e2d48e9f3e61fde8dfc2fd111927d3d80293184fbe9583e71e3e5074fb99239,Neo-Babylonian Empire,Duchy of Athens,False
1bb3ffa4ecbcb33622610f9327b67cff3797d72ab9b6474432f5b855bfef8ad0,train,capital of,ca41b65f22b06463223c6244851b8ce0ba1e62d49c19f495e1b594b69ef3a969,France,Los Angeles County,False
1d69c8978ad9a94e6847fa85150e426abe4142e7cf72691bda11d99f8193dd31,train,capital of,9c52ae3e3d2bdbbe2f33ab972182c7b7ee0522813d1ce372c9a089aad811083e,4th of August Regime,Teleorman County,False
1e2a9d348164ff0f0848df518cf5175696da2edd9f89313d2554e8c36a871099,train,capital of,24bdb1d15cf645048ec9ab212f8e8b21afbf75ca42fa73ee156be266bf94400e,Krushari Municipality,Lavalleja Department,False
1e73989c540da06c55b4028b249ebb069e346dc9cf86fb8681bab135d721e2be,train,capital of,3ad241e30af8977e8fcc81e34013126b3869164d2c9c554c555aa119b4d8ba6c,Gmina Kluczewsko,Austria-Hungary,False
1f48f466682b8c0493db4ef004839a82f8b6abb0e41e32d5a1ff43382513b4e2,train,capital of,4af1de9ca5ac87999600c6d7cad9f9733d0df63c4489904abfce264cd5d249e8,Busia District,Taiwan,False
211de3ca94d407067fa556436a6f63a87db8081f37fd8285a730fadc513560ec,train,capital of,afd3235d297aa89ffd0176888fc2697ffb2fcc59e98409ca148c5aa1e50fd704,Madison County,Hainaut,False
22424c606969b35574178588c4386044a97c61b10d7aa2a2220720f59fdb8be0,train,capital of,809b57bb306de58d5919883b039521d4480a607c69ba99acbea00cc9ce0eea74,Latvia,Lot-et-Garonne,False
2420aaae72b169ffa428d90fc959cdb6ec35d1f9e8e0d3781823d99f7bc72074,train,capital of,a270e43ff546fb2b5179fab9cf146f1bfd4bf5f8740a1a5d16d3e852a23b81d9,Osona,Nowy Targ County,False
24bdb1d15cf645048ec9ab212f8e8b21afbf75ca42fa73ee156be266bf94400e,train,capital of,a3427367d85cb04fa3e8dd9df8874f2bd9895f63b2a56e10eacce2a0d3f8e1d4,Lavalleja Department,Bennett County,False
25186ac88c4038e4246754d3e9d3c6c6a3b8321440a7273f03e6da6b7fafa130,train,capital of,a4bf47e98f7cb127c92e7183b921c57b793486e3045d5c38ab03c4e921afb460,Brazil,Spain,False
27da4c00a2c8b324cb788ff667cc7e7e6c99fafb1e8753cea4648e8cfea8f21d,train,capital of,a3476288c8497510eb26defde5cab552547521bc820c7997fb02e2a5f5d84787,Wales,Tughlaq dynasty,False
2b6db84aa7183b7d4dc08f4b0db1fd6b5933d3dc821479a323356ab71375236b,train,capital of,5b8f6d7135442613fafbd9904661056feace67fbcce07b4d10b9b661ad6bd7c6,United States of America,Nahouri Province,False
2bc07f6d993b3c0a5b85e24c502e17fd2ec6def0cd4f3a8ca4967db4ae41cad5,train,capital of,a7ba93f595f54dc8585ac5e2259a4fe8c235e1df7473fc45adfd66a8c6f4278a,City of Brisbane,Eswatini,False
2c684f60d6a7b52e3c481736a5a616bbf3bede42af6f1fc1eb2d25ec8feec914,train,capital of,3f7fa1beff807247b05a64993cf7bd72bfa72e28984f5fc2956631c9f1b682bd,Federated Malay States,Perak,False
2d3ed6b9392a3005ac6414db39fcf6def84e32f8aeefae2ac8cd0010e3c480d9,train,capital of,9c52ae3e3d2bdbbe2f33ab972182c7b7ee0522813d1ce372c9a089aad811083e,South Africa,Teleorman County,False
2e0549231d6d98bd342f8516b669640b26aa8a1c88725628930e10fa3dc238b9,train,capital of,383885d0d1dc4ac0061d1e72e1e08ff48c1ca7bde7c90ceb9db6ed4895da3c7a,Sur Empire,Barcelona Province,False
2e6822442a2ff862ea4fa166ac249fe03fd85b5b1c5e3567db10061f2feba611,train,capital of,9636e0af22629c192037c40b5a1c046fc6046a8e914e3094016cf2276d7244ee,Lauricocha Province,Jufra,False
2f265dd5c805b91965f59606adc33cfd313aaabd223518c4d34101f7cdb9c3b9,train,capital of,6c32d507aead82091f3edbd4cb09d9c07ef45ec0fca2c7823ba559fa3df6cb73,Guimaras,Ireland,False
32dffd6b3912e2692cfc7f37c0544b8e0206f3df5584aa7b7307bc911e60cf44,train,capital of,91b09c20562e0b223f747d2bae37cb3023373fc8e3dfdc8d30069daa89bf92a5,Massachusetts,Maharashtra,False
32fdd7ca5f10f0a4a0b5a674aed04034fc6d5c03ee3a7c8e472fb9d4a2896c55,train,capital of,cdfa4d14fa0e3b796264dbc972df5a6a5cb08bb535c380da48493d8bbe938202,Kingdom of Jerusalem,Principality of Calenberg,False
36fe0380d22e24b8126fb1b84644a7bf17310808fd9bf0d1e71d6a13c90c849a,train,capital of,fca373038164271fb0dd559ac9a721c625ab95405063d93f7647eaddd0806b09,People's Republic of China,Union of South Africa,False
3736d1f0ed761314218a64e47d90c03d15c74bcc90cf6cb11ad5f03d83fb605a,train,capital of,4af1de9ca5ac87999600c6d7cad9f9733d0df63c4489904abfce264cd5d249e8,Saga Prefecture,Taiwan,False
383885d0d1dc4ac0061d1e72e1e08ff48c1ca7bde7c90ceb9db6ed4895da3c7a,train,capital of,1d69c8978ad9a94e6847fa85150e426abe4142e7cf72691bda11d99f8193dd31,Barcelona Province,4th of August Regime,False
3ad241e30af8977e8fcc81e34013126b3869164d2c9c554c555aa119b4d8ba6c,train,capital of,9de5f673d309b13f7c3489ba6507c40089ee69b88232dc232fde29631ca794e6,Austria-Hungary,Czech Republic,False
3bf3a797907f477e8f5bd074d5b9c309439cc3c03310857a4892c995ed33c643,train,capital of,6887c57635a10a625b2fbe8aaa2f71bd89bd05b1ca7355cc0de79db38761a76d,Judah,State of Palestine,False
3c1eb23bb19d59a836617b3acf3e51f9cfa3219896917184b0547c38503d8391,train,capital of,0addfbd16b519929daa59aac380e8dd1f5148bc575d895a1a4d82f3d4184c3d1,European Economic Community,Harris County,False
3c9dc27d1cd2cf2c591894be64b747297e5edd31aed1aee5db908ab17a494840,train,capital of,a78febd69e860d8171e1242a9399308cd3151a66afc62731fcc35a36227a0c5a,Garissa County,Stephens County,False
3d5799409acc5286a011b98c6f704f21d08f02a302c3778a4315c5213cd90668,train,capital of,22424c606969b35574178588c4386044a97c61b10d7aa2a2220720f59fdb8be0,Hinsdale County,Latvia,False
3e229eb7e0e722595455603d9c3796f1e4196105bfa1b6634c57557948579b4e,train,capital of,95c115b46db7953a74847b502ea8c869aad82e5fc69617c211566736e8705c38,Nikolsky District,Tripp County,False
3e2859b848459b41ecb33246ce2cc52d05b6f4959e9fdf542337370218df7a2d,train,capital of,7e58445ab43100cee809b68a24cdc493f7b58453062c3085115e9641825c4a37,Province of Teramo,Kingdom of Italy,False
3f78a64e6cbcd0ec7552984eea6edb987ad9db65f0d2600d0cbe2081a06ff8ac,train,capital of,4453367707872b82004e99bb1153d4ce2e74918f5258fb9d409598f450fa1e59,Brussels Capital Region,Leningradsky District,False
3f7fa1beff807247b05a64993cf7bd72bfa72e28984f5fc2956631c9f1b682bd,train,capital of,9f2302ce036b573db56bb8ae25b4be6b206e676a0aeb7d826f84935a0ba238ad,Perak,California,False
3ffeed825c3119b8d128c96e325e55efc49e9d027dcb671d59e41cb87b023610,train,capital of,36fe0380d22e24b8126fb1b84644a7bf17310808fd9bf0d1e71d6a13c90c849a,Commonwealth of England,People's Republic of China,False
41a7e126f40bb4af0d0ece5ebb9b38f8e1edbb7ff0d6eba4089fd0587512c578,train,capital of,83696fdc3c7e48a1ac90938e2c19f6adb0b76e428aaa94d64d2ffd1a34de3e27,Maranoa Region,Province of Turin,False
41f8f92b93301c2328a2a45a9caabf691bfdb818ab1750a8bd636c917deab1ed,train,capital of,9b3fa06a74900ba199b26461242bc0e2804525f8bece4ef6dbfa09d3b2dcbfba,Danish Gold Coast,Philippines,False
425e5b08b889654c06be588620ddda40ede68cc32a6895bbc3ed6047747031aa,train,capital of,f452bd5d85a041ebed414e46ee2eaf442d2da50679f68ae7aaf67c2e0b837a50,Essex County,Sui dynasty,False
4453367707872b82004e99bb1153d4ce2e74918f5258fb9d409598f450fa1e59,train,capital of,d088118f4c1ab465a37fd16d6f3289da30de9d8ca92bbdacb5bdde5409d1e834,Leningradsky District,Beaufort County,False
44699974c8ebc3685e9b06984e91c1b1a19e2ea93b9df00971b0267cc8b6d1b1,train,capital of,c34ac2577d7a0bcfdf972a8b5e3b9f37f9057fa7b800460cf44507ce3a0030f0,Arizona,Shaanxi,False
48050f2d950d252dde75802aa7b09bfb0a62bd29827453b4e8912923d282f502,train,capital of,105f44ca9abffa848e2d1b431231675977aad109d624a6e2f00452fe45b2ef50,Haakon County,Kingdom of Sardinia,False
48b463f901d68e5431eda7660f8b909bb4f6f3ab5c6f3430c3cad863deb3cfde,train,capital of,7ef65d3a13db2d54bd13242819da61e5941b590fd3248c5ee624d63f9fa3fe94,Roman Empire,Kingdom of England,False
492b4dc0d4be39d9d6d53c548337de3d121acfde74c6a4498b5ac4e8c26742d5,train,capital of,95c115b46db7953a74847b502ea8c869aad82e5fc69617c211566736e8705c38,Gentofte Municipality,Tripp County,False
493d4f4e952d6d6bb0b754d3f17dc62fd81454960b4030c0a12631eb3f9fc272,train,capital of,1e2a9d348164ff0f0848df518cf5175696da2edd9f89313d2554e8c36a871099,Evenkiysky District,Krushari Municipality,False
4a4f84716f91ded5238571f88fe6806aa257c5ec807910398ac3eecce009dbb4,train,capital of,7ef65d3a13db2d54bd13242819da61e5941b590fd3248c5ee624d63f9fa3fe94,Lombardy,Kingdom of England,False
4af1de9ca5ac87999600c6d7cad9f9733d0df63c4489904abfce264cd5d249e8,train,capital of,9de5f673d309b13f7c3489ba6507c40089ee69b88232dc232fde29631ca794e6,Taiwan,Czech Republic,False
4b0e710afc97c690f25b10b7dcf7a4c3e1723bd4f37ac115d335c2c29936e378,train,capital of,f0bfad19af794eeea0295dc65b6ae14a256f87041452a8732f75916761dd761e,Beylik of Adana,Texas,False
4c7840977028a18e16746307af48365c4b644747e2c20c767a0e41b89875f414,train,capital of,5e320e0a6e02d7ce946188dc01cd970f3b08dcb64933674653853a296dd2893c,Antalya Province,Central District,False
5153de7f7354b9b109092e876d7b5726d289d6e1b8de7598d3206e437e30b5c8,train,capital of,9acc8a858b0d70a247d93a70cd39b7ceed240967feaa750895bf4d913a06b57d,Kingdom of England,Habsburg Monarchy,False
52acafa5fc33a0213b8c78e0e7638835ed09f503578a037978f91fcd7db57d44,train,capital of,af805455a4e1ea09af6486b6e9774ac76089847d0fd7de7a5afdb01590a576c8,Republic of Florence,Rhodesia,False
532a5d56e5a0d16ff0ec27f3dbe2c5bd9fbede13fba171800fb8382567f62bfa,train,capital of,a2eb9af42ba3558923004db58ac432b27f95722cd16b646ba044a2ce39eb2d81,Loiret,Salem Municipality,False
53578b9f2158a0f2f524695980905b5f0ad70e9299caab5489f3dcf6dcf81c90,train,capital of,a246aa131cb1c48afe198f0eef7c724b1443a3d370cd726bffbc565eec703450,Rhein-Lahn-Kreis,Medes,False
54cb3584edc8dd5d3c2c1b1ab7a62d395543acb503c40a90bf947365d6fe0a71,train,capital of,bd68ab5c87427cf0808a2437d374982b895d49ebee9169edad461f1c17f0980c,City of Brimbank,Namentenga Province,False
587544f44f294cd2ec98a1f5c28ad2406a2b69cdc0759127150e393da1ad17d7,train,capital of,7e58445ab43100cee809b68a24cdc493f7b58453062c3085115e9641825c4a37,West Sulawesi,Kingdom of Italy,False
5901bff50018c080d13ad2ed81837332e2e4c83eafdbaa00a2a85cdcbbffad0f,train,capital of,9c2d10138f9ae2a6efe367a8742fc886956be37acb929c86cd4e2a69fda80a57,Hoysala Empire,Jerusalem District,False
5b5e1849f8d1f8c9df18928a42b1dd9d867387d738fabed88d274f9083b7e122,train,capital of,0ea0ad96ca3996a17a3da46e0ad8babe625356de6c4604eddfaa2e87a2678436,Golden Horde,Holy Roman Empire,False
5b8f6d7135442613fafbd9904661056feace67fbcce07b4d10b9b661ad6bd7c6,train,capital of,9f2302ce036b573db56bb8ae25b4be6b206e676a0aeb7d826f84935a0ba238ad,Nahouri Province,California,False
5c55aa82886fc82854aaa8283f091f32f3f56d8d2258a3e6d500b0a6cf8b1158,train,capital of,fb517e2f7b59fa112e8eae1e309c0a76b65a07e24d268db9f4175969c8b50052,Ica Province,province of Milan,False
5df7222352086b27fefaf2e01241f6567534948c0e557cef0d009eebaf112312,train,capital of,c5fbef9fa50ddee2b66d8367fcce7d0be033b7e3964f631e4749471ee278a0c0,Spas-Demensky District,Maurya Empire,False
5e0474fda1e37e37501fecb3bcf44a26f62e0d2500bc6bda4d24a50c1bc306f0,train,capital of,9636e0af22629c192037c40b5a1c046fc6046a8e914e3094016cf2276d7244ee,Wisconsin,Jufra,False
5e320e0a6e02d7ce946188dc01cd970f3b08dcb64933674653853a296dd2893c,train,capital of,2c684f60d6a7b52e3c481736a5a616bbf3bede42af6f1fc1eb2d25ec8feec914,Central District,Federated Malay States,False
60d2044639118748e93d10292de33d5547b5525d009866be7dbf2ccbbf99f445,train,capital of,d54fb3c0d70f030e862f33e2ad4a65349920fee9ce793b95c65e71211b7360a9,Kingdom of Essex,Malawi,False
61347f86acf6e56cf18fac454639488746d400aecff00e92c14eaeac6ca3ec2e,train,capital of,fa1aa9b9fe5741e2f2d94c8a02c1de4fd3935b4d4d5cd282d0d60ee36c8a435e,Stockholm County,Otuzco Province,False
617d1e02d34db45902e5b1596a9517ceac080c3a8add86ae8dafe45d8dd125e9,train,capital of,91bb36ddc594a77e431f1b7ab4b39806aa1076a6fa9d8c0c7b0adc46f92e4678,European Union,Ramsey County,False
628341f6f59a74973d9ad59012373ec140bea1dee9c4c2c3dca9b6d3167e05fe,train,capital of,0f00ab4df8553a7872c6643d3c655bdf60ee550ba2fe0d503ee2c6cddfb5f9fa,Czechoslovakia,French Community of Belgium,False
6505c2a01bd917c1c7624cf9fb4fac007088a18ed7a7114f641fae5187fcd999,train,capital of,073e1c3597ee3d3d75623f58deb3dd231f7eb85e4aec595e2a98e508169de741,Anand district,Indre-et-Loire,False
65efb7f83c450abc537c04ecd766b592640c43ce9056d38d3390b7ec3d52f359,train,capital of,1a07797fc8875fe4becf50b31b803f138a4410d7f33a728411cd5867ecd2d192,Delhi Sultanate,Neo-Babylonian Empire,False
67fe1e5f0910ac2ca90ea0f7e48d5bd481b1a1b7c87d1647eee978f9508e4b03,train,capital of,3bf3a797907f477e8f5bd074d5b9c309439cc3c03310857a4892c995ed33c643,Northern Qi,Judah,False
6887c57635a10a625b2fbe8aaa2f71bd89bd05b1ca7355cc0de79db38761a76d,train,capital of,fca373038164271fb0dd559ac9a721c625ab95405063d93f7647eaddd0806b09,State of Palestine,Union of South Africa,False
68abe22487c431877d2cdcd07b7348c213a894dff5a4c293613c03bed9851b35,train,capital of,9ba2cee2af23d0adb05ae83ea14871e93af632627c32153494a609a61e459843,Oxfordshire,Maryland County,False
68d57365e994bdf036d2221de96fa3b5f2a7225bf9737a7814bdd0017e7d2716,train,capital of,a70fcffe31664958f5506952a2388377976cf941cbce752914a7ba1b903032b3,canton of Dieppe-Est,East Flanders,False
69011cbc15d9060968570d303ff9d8075a2b8fc562735f02cdae7616339bc347,train,capital of,cbc11516510d4f67ab4aa7b7d294ce08675f5621f343a627860df8365ecf9688,Vermont Republic,Kaberamaido District,False
69e2d618b59e09eb14db4af729b7b00d1f4d04f8c3ea70153d7f08736181a934,train,capital of,b33f54968cd3d00b62ebf80591547cc3a0b2de278613c43b79a8bf6a06880b09,Biliran,Miner County,False
6adae9aca4147337ad0ca9fa9b069e09bf7ca559c2ffca75826e96b81d987ac7,train,capital of,2bc07f6d993b3c0a5b85e24c502e17fd2ec6def0cd4f3a8ca4967db4ae41cad5,Province of Syracuse,City of Brisbane,False
6c32d507aead82091f3edbd4cb09d9c07ef45ec0fca2c7823ba559fa3df6cb73,train,capital of,60d2044639118748e93d10292de33d5547b5525d009866be7dbf2ccbbf99f445,Ireland,Kingdom of Essex,False
6df28a135339d2d4726bb20fb0d1f316e762c5a2be8632fb5ed9e7709a2cd1f0,train,capital of,b0052d71397c7db85e044413887958bb10b06acd473a9dbc74c1191c4c84161d,Piedmont,Malaya,False
7193aaf183627a287c9099c5ca10394546ddb6a8192febcc86b44560337068e9,train,capital of,a246aa131cb1c48afe198f0eef7c724b1443a3d370cd726bffbc565eec703450,Saga Domain,Medes,False
71d19a9518d661cf141c73bc5c6bc360b75a093d8a359cc8fc3a82f26b100dda,train,capital of,9ba2cee2af23d0adb05ae83ea14871e93af632627c32153494a609a61e459843,Yungay Province,Maryland County,False
71fbdca0cc468ad8a15da466b3f4ef8b2a49db42672bb7f964e27ce9320b5ec9,train,capital of,2f265dd5c805b91965f59606adc33cfd313aaabd223518c4d34101f7cdb9c3b9,Ontario,Guimaras,False
73dca5a023cc2d6a360cff2b0604bbe8f2313bedda3f9ae6dee3571c359cb9d6,train,capital of,4af1de9ca5ac87999600c6d7cad9f9733d0df63c4489904abfce264cd5d249e8,Sala Municipality,Taiwan,False
7505f950e7a823a151807b62d22078a393cf5324cc7d9270c526eaa2775b5a0f,train,capital of,6adae9aca4147337ad0ca9fa9b069e09bf7ca559c2ffca75826e96b81d987ac7,Mississippi,Province of Syracuse,False
750c9c137c7bd649706950d06a8c0699174383698f82f8b77293d0d1148eade2,train,capital of,b0052d71397c7db85e044413887958bb10b06acd473a9dbc74c1191c4c84161d,Province of Alessandria,Malaya,False
7533694c8ecb9ad3e5ec4b2c7f579fd4bb49f806d75082a074fe4ca9520e22d2,train,capital of,11956ddf925ec3623690a07fdd6c46fb82d41ee76a21e422aa371de83c64a911,Lake County,Albacete Province,False
75549fa8b4fb479eed3c19334c6b760d56dfa6fbe07bf69c01940081cdfd3f58,train,capital of,c971f3a393534f5b49689945a5621cda7a1a08317d4fe767b986736cf4c2606f,Kingdom of England,Ozaukee County,False
75ca915d7f7d90fcc6bb0268c03be109874235fdadc1bfb9996d9a0d0c638095,train,capital of,9c72ae41369e25a5bfb6f31c03d85d4172e627db4eaeeabb60323d045c87a8c4,Christmas Island,Stockholm Municipality,False
7a15a3066c33bc768f97f35f5fa6ced1b2e3c09b01c5e3dd2eaee7deaa30c18b,train,capital of,7533694c8ecb9ad3e5ec4b2c7f579fd4bb49f806d75082a074fe4ca9520e22d2,Tillman County,Lake County,False
7e58445ab43100cee809b68a24cdc493f7b58453062c3085115e9641825c4a37,train,capital of,1a07797fc8875fe4becf50b31b803f138a4410d7f33a728411cd5867ecd2d192,Kingdom of Italy,Neo-Babylonian Empire,False
7ef65d3a13db2d54bd13242819da61e5941b590fd3248c5ee624d63f9fa3fe94,train,capital of,211de3ca94d407067fa556436a6f63a87db8081f37fd8285a730fadc513560ec,Kingdom of England,Madison County,False
809b57bb306de58d5919883b039521d4480a607c69ba99acbea00cc9ce0eea74,train,capital of,a14700e3c42997cd9ef173ee9588d07e594ce3dc14d2645714f9cc1d49996daa,Lot-et-Garonne,Lower Austria,False
826ae3d85dc63b718fd5db00a7466c7ced1901d1791e7e18327eb6c6a4a79778,train,capital of,efbf991b4ead546df2054b982c228d14a95df3b1128dc14bf1641c5238dfaa99,Anguilla,Burgundian Netherlands,False
82e6c770df20c200f52d8ed54798c8930e3ccb49ef3bc31723fdcacf7da94e7c,train,capital of,ee011d36a31b81b33cdc451ee94988f52839b6656bd43e8973c94b37bbc9386f,British North America,Flemish Community,False
8364e5e09f1073be7afe5c77db097e66ad2f5af6ae17243d89cf48f8828fa892,train,capital of,082127199ff8360377e3ef6276117e0b5e2a3128c51a063900e894cf1cfd8503,Kingdom of Greece,Kingdom of Hanover,False
83696fdc3c7e48a1ac90938e2c19f6adb0b76e428aaa94d64d2ffd1a34de3e27,train,capital of,97fb074e37c617a61ae8546519d142927777fb3b8952d2537aeb1686713603b3,Province of Turin,Kingdom of Bohemia,False
8411a55a5f0a8edfd4f21fb0316eb4806cc769035f8bef2ca4e717e1628d85e0,train,capital of,d65964f226e75fa7b13a19c721c853417d7b6c37128a1562dce18cbb86b6b2e8,Achaemenid Empire,Lund Municipality,False
85ce598208547dcb75155c71c69b9e5c8f391b1e05259fec33ba3da3c45da9f6,train,capital of,892d5451f9eed034ee5b3e8ebf695a4f435ef911f45d7f897f91df53d1ec3161,Muskogee County,Most District,False
87bc3941b65247ef59994b01e9e3d9074da2a8a9555e7f4a7c958d6be568ca23,train,capital of,0ea0ad96ca3996a17a3da46e0ad8babe625356de6c4604eddfaa2e87a2678436,Tsu Domain,Holy Roman Empire,False
892d5451f9eed034ee5b3e8ebf695a4f435ef911f45d7f897f91df53d1ec3161,train,capital of,493d4f4e952d6d6bb0b754d3f17dc62fd81454960b4030c0a12631eb3f9fc272,Most District,Evenkiysky District,False
90edff687b79db6cfbae299d7ea8103712663016eec91c72b94bc6a847d23c77,train,capital of,65efb7f83c450abc537c04ecd766b592640c43ce9056d38d3390b7ec3d52f359,Harper County,Delhi Sultanate,False
911babe3afa00d2e3e026e4dfdb6373bb91b564b8171b842e748340a9ac6aa68,train,capital of,f96e5e134aae6009c06b527693ab59c727d6aff0645f6f4076e86ab87ac70bab,Allegheny County,Marengo,False
91b09c20562e0b223f747d2bae37cb3023373fc8e3dfdc8d30069daa89bf92a5,train,capital of,48b463f901d68e5431eda7660f8b909bb4f6f3ab5c6f3430c3cad863deb3cfde,Maharashtra,Roman Empire,False
91bb36ddc594a77e431f1b7ab4b39806aa1076a6fa9d8c0c7b0adc46f92e4678,train,capital of,024aba8498af9091ceb4a213d7900a650ae94f284e6f66ac88bedcf3ae5dcd0f,Ramsey County,Canada,False
91c6dbc95c89e439ad77d7f94d6b52d64615b12837ad0700b8fb1d5fb52fe3e0,train,capital of,7193aaf183627a287c9099c5ca10394546ddb6a8192febcc86b44560337068e9,South Holland,Saga Domain,False
95c115b46db7953a74847b502ea8c869aad82e5fc69617c211566736e8705c38,train,capital of,db46757055c4ec3c2768f2398913e52bf4a47600cf4d129ce6a36516d1a2ad06,Tripp County,Bashkortostan,False
9636e0af22629c192037c40b5a1c046fc6046a8e914e3094016cf2276d7244ee,train,capital of,98c36b82ba77dd33bcb373f409f9c2efc5d99892a03cb91edb68d2577608eb8c,Jufra,Monufia Governorate,False
96c0dbc9c820808f215bb448619f0805c595c6f05f0642d865af682cc033ee14,train,capital of,425e5b08b889654c06be588620ddda40ede68cc32a6895bbc3ed6047747031aa,Central Bohemian Region,Essex County,False
96c830bdf1c6161314411a0d45be3f064b7bfa33426ee735e74fdf918933ffb2,train,capital of,ea2cb3d05cbd8bfaf23e33fbfd7fd8b40bfa316441539e6b5a3ac1b871a05998,Western European Union,South Vietnam,False
97fb074e37c617a61ae8546519d142927777fb3b8952d2537aeb1686713603b3,train,capital of,493d4f4e952d6d6bb0b754d3f17dc62fd81454960b4030c0a12631eb3f9fc272,Kingdom of Bohemia,Evenkiysky District,False
984b7a151be4e25892a1a8b4ebf89cd7109eb0c19f2a4755271fdf5b3eb5be5b,train,capital of,cbb3ede0ff92dc94c0903852286ee1c1586c43f229496b476d004dc4e898c0f3,Henderson County,Algeria,False
98c36b82ba77dd33bcb373f409f9c2efc5d99892a03cb91edb68d2577608eb8c,train,capital of,15a79aa0ca40b0ac99c074d0060dbb27ca32f22140444203172d9f95ea8c5f64,Monufia Governorate,Belgium,False
98d335583985119514f9c58b5a169d5781001971bde8445a7c3b904e0ded2609,train,capital of,2420aaae72b169ffa428d90fc959cdb6ec35d1f9e8e0d3781823d99f7bc72074,Commonwealth of the Philippines,Osona,False
