source_group_id,cell,d1_predicted_label,seg_predicted_label,d1_l_A,d1_l_B,d1_d_raw,seg_l_A,seg_l_B,seg_d_raw,label_match,l_A_bf16_ulp,l_B_bf16_ulp,d_raw_abs_diff
10c688835407c6795fb879cb2535d55f0927bb85029e051e3aa4de6c67c47398,OO,A,A,15.875,-0.9609375,16.8359375,15.8125,-0.83203125,16.64453125,True,2.0,66.0,0.19140625
10c688835407c6795fb879cb2535d55f0927bb85029e051e3aa4de6c67c47398,OS,B,B,-3.296875,15.875,-19.171875,-3.15625,15.875,-19.03125,True,18.0,0.0,0.140625
10c688835407c6795fb879cb2535d55f0927bb85029e051e3aa4de6c67c47398,SO,B,B,12.4375,16.5,-4.0625,12.25,16.75,-4.5,True,6.0,4.0,0.4375
10c688835407c6795fb879cb2535d55f0927bb85029e051e3aa4de6c67c47398,SS,B,B,6.125,17.125,-11.0,5.875,17.25,-11.375,True,16.0,2.0,0.375
10d1ca49154e403b4cc726dc01e324f7682258a89f9d3e5dfcb79cf6f7ae6c5c,OO,A,A,17.375,2.78125,14.59375,17.25,2.9375,14.3125,True,2.0,20.0,0.28125
10d1ca49154e403b4cc726dc01e324f7682258a89f9d3e5dfcb79cf6f7ae6c5c,OS,B,B,-6.09375,15.3125,-21.40625,-6.0625,15.4375,-21.5,True,2.0,4.0,0.09375
10d1ca49154e403b4cc726dc01e324f7682258a89f9d3e5dfcb79cf6f7ae6c5c,SO,B,B,-3.203125,15.375,-18.578125,-3.328125,15.1875,-18.515625,True,16.0,6.0,0.0625
10d1ca49154e403b4cc726dc01e324f7682258a89f9d3e5dfcb79cf6f7ae6c5c,SS,B,B,1.6875,17.125,-15.4375,1.4921875,17.125,-15.6328125,True,50.0,0.0,0.1953125
121e26ee9b46cb89d2b26ca75281dd4a9e3fc03bacd4c01f7791bd5ede17b716,OO,A,A,15.125,1.671875,13.453125,14.8125,1.3828125,13.4296875,True,10.0,74.0,0.0234375
121e26ee9b46cb89d2b26ca75281dd4a9e3fc03bacd4c01f7791bd5ede17b716,OS,B,B,-5.875,15.8125,-21.6875,-6.28125,15.75,-22.03125,True,26.0,2.0,0.34375
121e26ee9b46cb89d2b26ca75281dd4a9e3fc03bacd4c01f7791bd5ede17b716,SO,B,B,-1.265625,14.1875,-15.453125,-1.6953125,13.875,-15.5703125,True,110.0,10.0,0.1171875
121e26ee9b46cb89d2b26ca75281dd4a9e3fc03bacd4c01f7791bd5ede17b716,SS,B,B,8.3125,19.25,-10.9375,8.125,19.25,-11.125,True,6.0,0.0,0.1875
13fcd9e40a8a4329cdef20721434615139e6b2dc95f180fe2e64a67038331f22,OO,A,A,15.5,-2.5,18.0,15.5,-2.4375,17.9375,True,0.0,8.0,0.0625
13fcd9e40a8a4329cdef20721434615139e6b2dc95f180fe2e64a67038331f22,OS,B,B,-5.8125,14.5,-20.3125,-5.6875,14.8125,-20.5,True,8.0,10.0,0.1875
13fcd9e40a8a4329cdef20721434615139e6b2dc95f180fe2e64a67038331f22,SO,B,B,4.21875,16.625,-12.40625,4.9375,16.875,-11.9375,True,46.0,4.0,0.46875
13fcd9e40a8a4329cdef20721434615139e6b2dc95f180fe2e64a67038331f22,SS,B,B,4.09375,17.125,-13.03125,4.40625,17.5,-13.09375,True,20.0,6.0,0.0625
143ba7a15fe9c68797c08230ee3931a9dfcfe6f873640ca2fd4f8623e0c2972b,OO,A,A,15.375,-2.015625,17.390625,15.25,-2.28125,17.53125,True,4.0,34.0,0.140625
143ba7a15fe9c68797c08230ee3931a9dfcfe6f873640ca2fd4f8623e0c2972b,OS,B,B,-1.640625,15.5,-17.140625,-1.953125,15.0,-16.953125,True,80.0,16.0,0.1875
143ba7a15fe9c68797c08230ee3931a9dfcfe6f873640ca2fd4f8623e0c2972b,SO,B,B,-4.78125,14.75,-19.53125,-5.0625,14.6875,-19.75,True,18.0,2.0,0.21875
143ba7a15fe9c68797c08230ee3931a9dfcfe6f873640ca2fd4f8623e0c2972b,SS,A,A,18.0,10.9375,7.0625,17.75,10.25,7.5,True,4.0,22.0,0.4375
199078912aef9601d43fbb41eeeb0ec45ab7f752eb6378b83eae3b082379161c,OO,A,A,14.75,-2.28125,17.03125,14.4375,-2.390625,16.828125,True,10.0,14.0,0.203125
199078912aef9601d43fbb41eeeb0ec45ab7f752eb6378b83eae3b082379161c,OS,B,B,-7.96875,14.3125,-22.28125,-7.9375,14.1875,-22.125,True,2.0,4.0,0.15625
199078912aef9601d43fbb41eeeb0ec45ab7f752eb6378b83eae3b082379161c,SO,B,B,-2.65625,14.6875,-17.34375,-1.7109375,15.0,-16.7109375,True,121.0,10.0,0.6328125
199078912aef9601d43fbb41eeeb0ec45ab7f752eb6378b83eae3b082379161c,SS,B,B,-2.921875,15.125,-18.046875,-3.03125,15.375,-18.40625,True,14.0,8.0,0.359375
1a07b80e58d0120531bcefee7ba132e3bd77bef834bc592741b579d8a1952ad2,OO,A,A,15.375,-2.03125,17.40625,15.25,-2.4375,17.6875,True,4.0,52.0,0.28125
1a07b80e58d0120531bcefee7ba132e3bd77bef834bc592741b579d8a1952ad2,OS,B,B,-6.5,15.4375,-21.9375,-6.65625,15.4375,-22.09375,True,10.0,0.0,0.15625
1a07b80e58d0120531bcefee7ba132e3bd77bef834bc592741b579d8a1952ad2,SO,B,B,-4.25,13.625,-17.875,-4.53125,13.375,-17.90625,True,18.0,8.0,0.03125
1a07b80e58d0120531bcefee7ba132e3bd77bef834bc592741b579d8a1952ad2,SS,B,B,5.4375,17.25,-11.8125,5.78125,17.5,-11.71875,True,22.0,4.0,0.09375
1a2ede8310b68c121c2eebd7ad1c6b47b21796df96ea64159dbc9e76f1ae27ba,OO,A,A,14.375,-2.59375,16.96875,14.125,-2.796875,16.921875,True,8.0,26.0,0.046875
1a2ede8310b68c121c2eebd7ad1c6b47b21796df96ea64159dbc9e76f1ae27ba,OS,B,B,-6.96875,14.8125,-21.78125,-6.96875,14.8125,-21.78125,True,0.0,0.0,0.0
1a2ede8310b68c121c2eebd7ad1c6b47b21796df96ea64159dbc9e76f1ae27ba,SO,B,B,1.1484375,14.9375,-13.7890625,1.2578125,15.0,-13.7421875,True,28.0,2.0,0.046875
1a2ede8310b68c121c2eebd7ad1c6b47b21796df96ea64159dbc9e76f1ae27ba,SS,B,B,9.125,18.5,-9.375,9.375,18.625,-9.25,True,8.0,2.0,0.125
1b113718103da2934eb80b31e07a36abff54f00e7334be16390372856a3b6d5c,OO,A,A,13.375,-0.359375,13.734375,13.3125,-0.50390625,13.81640625,True,2.0,148.0,0.08203125
1b113718103da2934eb80b31e07a36abff54f00e7334be16390372856a3b6d5c,OS,B,B,-5.125,14.625,-19.75,-5.0625,14.8125,-19.875,True,4.0,6.0,0.125
1b113718103da2934eb80b31e07a36abff54f00e7334be16390372856a3b6d5c,SO,B,B,-5.03125,14.0,-19.03125,-5.03125,14.0625,-19.09375,True,0.0,2.0,0.0625
1b113718103da2934eb80b31e07a36abff54f00e7334be16390372856a3b6d5c,SS,B,B,0.451171875,15.5625,-15.111328125,0.1865234375,15.375,-15.1884765625,True,271.0,6.0,0.0771484375
1b534c132ccabe1a0e4a1e184b5e57df190c3eef651eeb6d0cce1944eb689ffd,OO,A,A,15.5,-1.875,17.375,15.3125,-1.9609375,17.2734375,True,6.0,22.0,0.1015625
1b534c132ccabe1a0e4a1e184b5e57df190c3eef651eeb6d0cce1944eb689ffd,OS,B,B,-5.5,16.125,-21.625,-5.625,15.875,-21.5,True,8.0,4.0,0.125
1b534c132ccabe1a0e4a1e184b5e57df190c3eef651eeb6d0cce1944eb689ffd,SO,B,B,13.125,15.0625,-1.9375,12.5,15.375,-2.875,True,20.0,10.0,0.9375
1b534c132ccabe1a0e4a1e184b5e57df190c3eef651eeb6d0cce1944eb689ffd,SS,B,B,0.3125,15.4375,-15.125,0.1064453125,15.3125,-15.2060546875,True,211.0,4.0,0.0810546875
1be6fa12bbdbfbd851812045dffe0981b2fdc90feaecff40cbe7d533433160fb,OO,A,A,13.6875,-4.5625,18.25,14.0,-4.375,18.375,True,10.0,12.0,0.125
1be6fa12bbdbfbd851812045dffe0981b2fdc90feaecff40cbe7d533433160fb,OS,B,B,-5.59375,15.625,-21.21875,-5.375,15.875,-21.25,True,14.0,8.0,0.03125
1be6fa12bbdbfbd851812045dffe0981b2fdc90feaecff40cbe7d533433160fb,SO,A,A,14.5625,5.34375,9.21875,14.4375,4.875,9.5625,True,4.0,30.0,0.34375
1be6fa12bbdbfbd851812045dffe0981b2fdc90feaecff40cbe7d533433160fb,SS,B,B,-0.181640625,16.25,-16.431640625,-0.1767578125,16.25,-16.4267578125,True,10.0,0.0,0.0048828125
1beb2aa5b13171309874a37d5260ebb4e081a26981486965e2d55ecbd0e23e72,OO,A,A,15.4375,-0.83203125,16.26953125,15.3125,-1.1875,16.5,True,4.0,182.0,0.23046875
1beb2aa5b13171309874a37d5260ebb4e081a26981486965e2d55ecbd0e23e72,OS,B,B,-6.625,14.0,-20.625,-6.53125,14.0625,-20.59375,True,6.0,2.0,0.03125
1beb2aa5b13171309874a37d5260ebb4e081a26981486965e2d55ecbd0e23e72,SO,B,B,-4.03125,14.0625,-18.09375,-3.875,14.125,-18.0,True,10.0,2.0,0.09375
1beb2aa5b13171309874a37d5260ebb4e081a26981486965e2d55ecbd0e23e72,SS,A,A,16.0,4.90625,11.09375,16.0,5.0,11.0,True,0.0,6.0,0.09375
1c35548b29d8511a72048aa2f5760aa0375a344a23b694ddc903a3c3b9d10eb8,OO,A,A,15.125,-1.5859375,16.7109375,14.875,-1.46875,16.34375,True,8.0,30.0,0.3671875
1c35548b29d8511a72048aa2f5760aa0375a344a23b694ddc903a3c3b9d10eb8,OS,B,B,-7.9375,14.8125,-22.75,-7.875,15.125,-23.0,True,4.0,10.0,0.25
1c35548b29d8511a72048aa2f5760aa0375a344a23b694ddc903a3c3b9d10eb8,SO,B,B,-5.0625,14.125,-19.1875,-5.375,13.6875,-19.0625,True,20.0,14.0,0.125
1c35548b29d8511a72048aa2f5760aa0375a344a23b694ddc903a3c3b9d10eb8,SS,B,B,11.0,17.125,-6.125,11.0625,17.125,-6.0625,True,2.0,0.0,0.0625
1e775ec427e192a7277498b2b5f22a189e2fd5e4a7ebe9a5d7ceb04d0edb4bea,OO,A,A,14.125,-1.40625,15.53125,14.0625,-1.1328125,15.1953125,True,2.0,70.0,0.3359375
1e775ec427e192a7277498b2b5f22a189e2fd5e4a7ebe9a5d7ceb04d0edb4bea,OS,B,B,-6.4375,15.875,-22.3125,-6.28125,15.9375,-22.21875,True,10.0,2.0,0.09375
1e775ec427e192a7277498b2b5f22a189e2fd5e4a7ebe9a5d7ceb04d0edb4bea,SO,B,B,-4.15625,14.5,-18.65625,-4.40625,14.375,-18.78125,True,16.0,4.0,0.125
1e775ec427e192a7277498b2b5f22a189e2fd5e4a7ebe9a5d7ceb04d0edb4bea,SS,B,B,2.03125,17.125,-15.09375,1.9609375,17.25,-15.2890625,True,9.0,2.0,0.1953125
20ca76d8e4f85568513476a52df419d075d3dd5fc5ccecf57f95ac7dd8fc87e6,OO,A,A,14.5625,-3.828125,18.390625,14.125,-4.125,18.25,True,14.0,38.0,0.140625
20ca76d8e4f85568513476a52df419d075d3dd5fc5ccecf57f95ac7dd8fc87e6,OS,B,B,-4.28125,15.75,-20.03125,-4.46875,15.875,-20.34375,True,12.0,4.0,0.3125
20ca76d8e4f85568513476a52df419d075d3dd5fc5ccecf57f95ac7dd8fc87e6,SO,B,B,-4.40625,14.3125,-18.71875,-4.3125,14.375,-18.6875,True,6.0,2.0,0.03125
20ca76d8e4f85568513476a52df419d075d3dd5fc5ccecf57f95ac7dd8fc87e6,SS,B,B,2.359375,17.75,-15.390625,2.140625,17.75,-15.609375,True,28.0,0.0,0.21875
21b042f63c92b50654186c8fe4187eace9b61ae49c15626476e5b27ce23675bb,OO,A,A,16.125,-0.734375,16.859375,16.125,-0.66796875,16.79296875,True,0.0,34.0,0.06640625
21b042f63c92b50654186c8fe4187eace9b61ae49c15626476e5b27ce23675bb,OS,B,B,-7.1875,14.25,-21.4375,-7.25,14.25,-21.5,True,4.0,0.0,0.0625
21b042f63c92b50654186c8fe4187eace9b61ae49c15626476e5b27ce23675bb,SO,B,B,1.4140625,15.8125,-14.3984375,0.90234375,15.5,-14.59765625,True,131.0,10.0,0.19921875
21b042f63c92b50654186c8fe4187eace9b61ae49c15626476e5b27ce23675bb,SS,B,B,0.21484375,16.25,-16.03515625,-0.052001953125,16.0,-16.052001953125,True,546.5,4.0,0.016845703125
21e85b4efb563c2c7d719cd82eed25f1248ca7f7c8365f703644ce3dc4ad3f31,OO,A,A,13.5625,-2.828125,16.390625,13.8125,-2.5,16.3125,True,8.0,42.0,0.078125
21e85b4efb563c2c7d719cd82eed25f1248ca7f7c8365f703644ce3dc4ad3f31,OS,B,B,-5.0625,15.5,-20.5625,-4.875,15.5625,-20.4375,True,12.0,2.0,0.125
21e85b4efb563c2c7d719cd82eed25f1248ca7f7c8365f703644ce3dc4ad3f31,SO,B,B,-0.265625,14.4375,-14.703125,-0.12451171875,14.4375,-14.56201171875,True,144.5,0.0,0.14111328125
21e85b4efb563c2c7d719cd82eed25f1248ca7f7c8365f703644ce3dc4ad3f31,SS,B,B,6.65625,16.75,-10.09375,6.53125,16.75,-10.21875,True,8.0,0.0,0.125
230f4886e25e9c27f1c5aeb6202ef50688d4072ec21a5516491ea31cdf4274d7,OO,A,A,15.375,-1.859375,17.234375,15.1875,-1.9609375,17.1484375,True,6.0,26.0,0.0859375
230f4886e25e9c27f1c5aeb6202ef50688d4072ec21a5516491ea31cdf4274d7,OS,B,B,-4.96875,14.9375,-19.90625,-5.03125,15.0,-20.03125,True,4.0,2.0,0.125
230f4886e25e9c27f1c5aeb6202ef50688d4072ec21a5516491ea31cdf4274d7,SO,B,B,-1.8046875,14.4375,-16.2421875,-1.7109375,14.5,-16.2109375,True,24.0,2.0,0.03125
230f4886e25e9c27f1c5aeb6202ef50688d4072ec21a5516491ea31cdf4274d7,SS,B,B,4.375,16.0,-11.625,4.5,16.25,-11.75,True,8.0,4.0,0.125
23b2da192ff61c4753bc05910769816eed0a3667db2a4b773622bce58081ef84,OO,A,A,13.5,-3.875,17.375,13.625,-3.984375,17.609375,True,4.0,14.0,0.234375
23b2da192ff61c4753bc05910769816eed0a3667db2a4b773622bce58081ef84,OS,B,B,-5.375,16.5,-21.875,-5.375,16.625,-22.0,True,0.0,2.0,0.125
23b2da192ff61c4753bc05910769816eed0a3667db2a4b773622bce58081ef84,SO,B,B,-2.1875,15.0625,-17.25,-2.046875,15.0,-17.046875,True,18.0,2.0,0.203125
23b2da192ff61c4753bc05910769816eed0a3667db2a4b773622bce58081ef84,SS,B,B,4.6875,17.875,-13.1875,4.65625,18.125,-13.46875,True,2.0,4.0,0.28125
24b91442961df4239a123354c44e53dab4a44f7cff6e66fec314c22e1b1540ea,OO,A,A,16.375,-3.09375,19.46875,16.5,-3.125,19.625,True,2.0,4.0,0.15625
24b91442961df4239a123354c44e53dab4a44f7cff6e66fec314c22e1b1540ea,OS,B,B,-2.484375,16.5,-18.984375,-2.453125,16.375,-18.828125,True,4.0,2.0,0.15625
24b91442961df4239a123354c44e53dab4a44f7cff6e66fec314c22e1b1540ea,SO,B,B,-2.359375,15.3125,-17.671875,-2.21875,15.375,-17.59375,True,18.0,2.0,0.078125
24b91442961df4239a123354c44e53dab4a44f7cff6e66fec314c22e1b1540ea,SS,B,B,8.25,17.25,-9.0,8.125,17.375,-9.25,True,4.0,2.0,0.25
273e7a2bbe79fb45e3da5b01c63233ca2a0293e88be678371d45e6e734eb3687,OO,A,A,14.8125,-0.52734375,15.33984375,14.9375,-0.328125,15.265625,True,4.0,102.0,0.07421875
273e7a2bbe79fb45e3da5b01c63233ca2a0293e88be678371d45e6e734eb3687,OS,B,B,-4.875,14.1875,-19.0625,-4.71875,14.125,-18.84375,True,10.0,2.0,0.21875
273e7a2bbe79fb45e3da5b01c63233ca2a0293e88be678371d45e6e734eb3687,SO,B,B,-2.28125,13.75,-16.03125,-2.265625,13.6875,-15.953125,True,2.0,2.0,0.078125
273e7a2bbe79fb45e3da5b01c63233ca2a0293e88be678371d45e6e734eb3687,SS,A,A,16.0,7.65625,8.34375,15.8125,7.90625,7.90625,True,3.0,16.0,0.4375
2a20d544ff618b9501d9400c452e6e02e2e866fa2d6a08fb345c2ffb4f633edb,OO,A,A,13.5625,-4.625,18.1875,13.875,-4.46875,18.34375,True,10.0,10.0,0.15625
2a20d544ff618b9501d9400c452e6e02e2e866fa2d6a08fb345c2ffb4f633edb,OS,B,B,-6.21875,15.4375,-21.65625,-6.125,15.3125,-21.4375,True,6.0,4.0,0.21875
2a20d544ff618b9501d9400c452e6e02e2e866fa2d6a08fb345c2ffb4f633edb,SO,B,B,-2.765625,14.875,-17.640625,-2.265625,15.0625,-17.328125,True,64.0,6.0,0.3125
2a20d544ff618b9501d9400c452e6e02e2e866fa2d6a08fb345c2ffb4f633edb,SS,B,B,-2.25,16.75,-19.0,-2.078125,16.625,-18.703125,True,22.0,2.0,0.296875
2b8a5200282c3f8748e7a842c78898590dde7c3432e54daf87ca95ce25b4c54e,OO,A,A,16.125,-1.671875,17.796875,15.8125,-1.703125,17.515625,True,5.0,8.0,0.28125
2b8a5200282c3f8748e7a842c78898590dde7c3432e54daf87ca95ce25b4c54e,OS,B,B,-6.625,14.6875,-21.3125,-6.71875,14.625,-21.34375,True,6.0,2.0,0.03125
2b8a5200282c3f8748e7a842c78898590dde7c3432e54daf87ca95ce25b4c54e,SO,B,B,-1.6015625,14.0,-15.6015625,-2.0,14.0625,-16.0625,True,102.0,2.0,0.4609375
2b8a5200282c3f8748e7a842c78898590dde7c3432e54daf87ca95ce25b4c54e,SS,B,B,7.875,17.5,-9.625,7.53125,17.25,-9.71875,True,22.0,4.0,0.09375
2dc8c8368d496987fff43c67a7613468467b611e116687d0980c83a39cd910aa,OO,A,A,15.5,-2.40625,17.90625,15.25,-2.46875,17.71875,True,8.0,8.0,0.1875
2dc8c8368d496987fff43c67a7613468467b611e116687d0980c83a39cd910aa,OS,B,B,-7.4375,14.875,-22.3125,-7.5,14.8125,-22.3125,True,4.0,2.0,0.0
2dc8c8368d496987fff43c67a7613468467b611e116687d0980c83a39cd910aa,SO,B,B,-5.125,14.75,-19.875,-5.0,14.875,-19.875,True,8.0,4.0,0.0
2dc8c8368d496987fff43c67a7613468467b611e116687d0980c83a39cd910aa,SS,A,A,14.8125,4.0625,10.75,15.0,4.09375,10.90625,True,6.0,2.0,0.15625
2f4703494c2a9ce69c4a05d3a0f85a95e69e0b7a1564dc0cfba14f55769487d6,OO,A,A,14.0625,-2.453125,16.515625,13.875,-2.5625,16.4375,True,6.0,14.0,0.078125
2f4703494c2a9ce69c4a05d3a0f85a95e69e0b7a1564dc0cfba14f55769487d6,OS,B,B,-7.25,15.375,-22.625,-7.1875,15.4375,-22.625,True,4.0,2.0,0.0
2f4703494c2a9ce69c4a05d3a0f85a95e69e0b7a1564dc0cfba14f55769487d6,SO,B,B,5.65625,16.75,-11.09375,7.21875,17.0,-9.78125,True,100.0,4.0,1.3125
2f4703494c2a9ce69c4a05d3a0f85a95e69e0b7a1564dc0cfba14f55769487d6,SS,B,B,-0.25390625,17.5,-17.75390625,-0.29296875,17.625,-17.91796875,True,40.0,2.0,0.1640625
31bc2caab699df9cd3f29bcee3a64a7be3446b3056011e8d837007ac97aec033,OO,A,A,15.0625,-0.671875,15.734375,15.0,-0.68359375,15.68359375,True,2.0,6.0,0.05078125
31bc2caab699df9cd3f29bcee3a64a7be3446b3056011e8d837007ac97aec033,OS,B,B,-7.03125,14.1875,-21.21875,-7.0,14.25,-21.25,True,2.0,2.0,0.03125
31bc2caab699df9cd3f29bcee3a64a7be3446b3056011e8d837007ac97aec033,SO,B,B,0.3203125,16.625,-16.3046875,0.05029296875,16.5,-16.44970703125,True,276.5,2.0,0.14501953125
31bc2caab699df9cd3f29bcee3a64a7be3446b3056011e8d837007ac97aec033,SS,B,B,3.671875,17.125,-13.453125,3.5625,17.125,-13.5625,True,14.0,0.0,0.109375
32433ec8d7c816d84564c39977c687496178d90300834bb1c8fb5dbe8c496afd,OO,A,A,15.875,-3.0,18.875,15.75,-2.890625,18.640625,True,4.0,14.0,0.234375
32433ec8d7c816d84564c39977c687496178d90300834bb1c8fb5dbe8c496afd,OS,B,B,-6.90625,14.75,-21.65625,-6.78125,14.875,-21.65625,True,8.0,4.0,0.0
32433ec8d7c816d84564c39977c687496178d90300834bb1c8fb5dbe8c496afd,SO,B,B,0.294921875,14.875,-14.580078125,0.41015625,14.75,-14.33984375,True,118.0,4.0,0.240234375
32433ec8d7c816d84564c39977c687496178d90300834bb1c8fb5dbe8c496afd,SS,B,B,8.0,19.125,-11.125,7.4375,19.0,-11.5625,True,18.0,2.0,0.4375
329dd7e54066ef13a3da213f7f3b6cff598c5899634f90f2aa842bf03bdfe22b,OO,A,A,14.3125,-3.453125,17.765625,14.5625,-3.609375,18.171875,True,8.0,20.0,0.40625
329dd7e54066ef13a3da213f7f3b6cff598c5899634f90f2aa842bf03bdfe22b,OS,B,B,-5.53125,15.375,-20.90625,-5.5,15.25,-20.75,True,2.0,4.0,0.15625
329dd7e54066ef13a3da213f7f3b6cff598c5899634f90f2aa842bf03bdfe22b,SO,B,B,0.83203125,15.3125,-14.48046875,0.9375,15.375,-14.4375,True,54.0,2.0,0.04296875
329dd7e54066ef13a3da213f7f3b6cff598c5899634f90f2aa842bf03bdfe22b,SS,B,B,-2.25,16.375,-18.625,-2.046875,16.375,-18.421875,True,26.0,0.0,0.203125
32a5842122bca8ce29d1bd38d6bee5bd0cd4ff77f6e85b6df20e866683e9e9d8,OO,A,A,16.375,1.6796875,14.6953125,16.25,1.9296875,14.3203125,True,2.0,64.0,0.375
32a5842122bca8ce29d1bd38d6bee5bd0cd4ff77f6e85b6df20e866683e9e9d8,OS,B,B,-6.1875,14.875,-21.0625,-6.34375,14.6875,-21.03125,True,10.0,6.0,0.03125
32a5842122bca8ce29d1bd38d6bee5bd0cd4ff77f6e85b6df20e866683e9e9d8,SO,A,A,15.5625,7.6875,7.875,15.4375,7.5625,7.875,True,4.0,8.0,0.0
32a5842122bca8ce29d1bd38d6bee5bd0cd4ff77f6e85b6df20e866683e9e9d8,SS,B,B,1.1484375,16.75,-15.6015625,1.0703125,16.5,-15.4296875,True,20.0,4.0,0.171875
335059d400355094616bc325ef0848eda0060b94b91bf17aa229387a74b6c2fe,OO,A,A,15.625,-0.83984375,16.46484375,15.5,-0.73828125,16.23828125,True,4.0,52.0,0.2265625
335059d400355094616bc325ef0848eda0060b94b91bf17aa229387a74b6c2fe,OS,B,B,-7.28125,15.25,-22.53125,-7.40625,15.0625,-22.46875,True,8.0,6.0,0.0625
